GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neuron,de.weltraumschaf.neuron.node,Event,21,9,0,0,3,4,3,1,3,1
Neuron,de.weltraumschaf.neuron.node,NodeFactory,0,25,0,0,0,6,0,4,0,4
Neuron,de.weltraumschaf.neuron.node,NodeImpl,5,184,0,10,2,28,1,17,1,12
Neuron,de.weltraumschaf.neuron.node,Event.Type,9,29,0,0,0,3,2,2,2,2
Neuron,de.weltraumschaf.neuron.shell,CharacterStream,0,51,0,6,0,12,0,7,0,4
Neuron,de.weltraumschaf.neuron.shell,TokenType,9,39,0,0,0,4,2,2,2,2
Neuron,de.weltraumschaf.neuron.shell,CharacterHelper,3,63,0,22,2,7,1,16,1,5
Neuron,de.weltraumschaf.neuron.shell,InteractiveShell,111,0,4,0,28,0,6,0,4,0
Neuron,de.weltraumschaf.neuron.shell,ShellCommand,0,152,0,10,0,28,0,16,0,11
Neuron,de.weltraumschaf.neuron.shell,ShellCommand.MainType,5,63,0,0,0,9,1,4,1,4
Neuron,de.weltraumschaf.neuron.shell,Parser,119,135,17,19,11,34,15,9,0,4
Neuron,de.weltraumschaf.neuron.shell,SyntaxException,9,10,0,0,4,4,2,2,2,2
Neuron,de.weltraumschaf.neuron.shell,Environment,3,157,0,10,1,30,1,15,1,10
Neuron,de.weltraumschaf.neuron.shell,ShellCommand.SubType,5,118,0,0,0,14,1,4,1,4
Neuron,de.weltraumschaf.neuron.shell,Token,0,39,0,0,0,9,0,6,0,6
Neuron,de.weltraumschaf.neuron.shell,Parser.new Object() {...},12,81,0,0,0,2,0,1,0,1
Neuron,de.weltraumschaf.neuron.shell,Scanner,0,130,1,19,0,35,1,14,0,5
Neuron,de.weltraumschaf.neuron.shell,EventHandler,57,12,6,0,12,5,7,1,4,1
Neuron,de.weltraumschaf.neuron.cmd,NodeListen,52,6,2,0,9,2,2,1,1,1
Neuron,de.weltraumschaf.neuron.cmd,Exit,0,11,0,0,0,4,0,2,0,2
Neuron,de.weltraumschaf.neuron.cmd,Reset,0,14,0,0,0,5,0,2,0,2
Neuron,de.weltraumschaf.neuron.cmd,CommandFactory.new Object() {...},12,81,0,0,0,2,0,1,0,1
Neuron,de.weltraumschaf.neuron.cmd,NodeInfo,98,6,6,0,14,2,4,1,1,1
Neuron,de.weltraumschaf.neuron.cmd,Help,0,27,0,0,0,7,0,4,0,4
Neuron,de.weltraumschaf.neuron.cmd,CommandFactory,25,146,2,14,2,26,2,14,0,3
Neuron,de.weltraumschaf.neuron.cmd,NodeConnect,91,6,4,0,13,2,3,1,1,1
Neuron,de.weltraumschaf.neuron.cmd,NodeAdd,0,66,0,6,0,15,0,5,0,2
Neuron,de.weltraumschaf.neuron.cmd,NodeDel,0,42,0,2,0,8,0,3,0,2
Neuron,de.weltraumschaf.neuron.cmd,BaseCommand,0,21,0,0,0,8,0,4,0,4
Neuron,de.weltraumschaf.neuron.cmd,NodeDisconnect,91,6,4,0,13,2,3,1,1,1
Neuron,de.weltraumschaf.neuron.cmd,NodeList,0,91,0,6,0,14,0,5,0,2
Neuron,de.weltraumschaf.neuron.cmd,NodeUnlisten,52,6,2,0,9,2,2,1,1,1
Neuron,de.weltraumschaf.neuron,Message,37,0,0,0,9,0,5,0,5,0
Neuron,de.weltraumschaf.neuron,App,41,0,0,0,13,0,3,0,3,0
